deptbox	District	Village
3701	桃源區	梅山里
3702	桃源區	拉芙蘭里
3703	桃源區	復興里
3704	桃源區	勤和里
3705	桃源區	桃源里
3706	桃源區	高中里
3707	桃源區	建山里
3708	桃源區	寶山里
3809	那瑪夏區	達卡努瓦里
38010	那瑪夏區	達卡努瓦里
38011	那瑪夏區	瑪雅里
38012	那瑪夏區	南沙魯里
33013	甲仙區	東安里
33014	甲仙區	西安里
33015	甲仙區	和安里
33016	甲仙區	大田里
33017	甲仙區	寶隆里
33018	甲仙區	關山里
33019	甲仙區	小林里
32020	六龜區	新威里
32021	六龜區	新興里
32022	六龜區	新寮里
32023	六龜區	新發里
32024	六龜區	荖濃里
32025	六龜區	六龜里
32026	六龜區	義寶里
32027	六龜區	興龍里
32028	六龜區	中興里
32029	六龜區	寶來里
32030	六龜區	文武里
32031	六龜區	大津里
34032	杉林區	杉林里
34033	杉林區	木梓里
34034	杉林區	集來里
34035	杉林區	新庄里
34036	杉林區	新庄里
34037	杉林區	上平里
34038	杉林區	月眉里
34039	杉林區	大愛里
34040	杉林區	大愛里
34041	杉林區	月美里
35042	內門區	溝坪里
35043	內門區	金竹里
35044	內門區	永富里
35045	內門區	永吉里
35046	內門區	永興里
35047	內門區	石坑里
35048	內門區	內門里
35049	內門區	內豊里
35050	內門區	觀亭里
35051	內門區	中埔里
35052	內門區	內東里
35053	內門區	內南里
35054	內門區	東埔里
35055	內門區	三平里
35056	內門區	木柵里
35057	內門區	內興里
35058	內門區	瑞山里
35059	內門區	光興里
30060	旗山區	太平里
30061	旗山區	太平里
30062	旗山區	大德里
30063	旗山區	大德里
30064	旗山區	湄洲里
30065	旗山區	湄洲里
30066	旗山區	圓富里
30067	旗山區	圓富里
30068	旗山區	中正里
30069	旗山區	中正里
30070	旗山區	大林里
30071	旗山區	大林里
30072	旗山區	上洲里
30073	旗山區	新光里
30074	旗山區	南勝里
30075	旗山區	南勝里
30076	旗山區	中寮里
30077	旗山區	東昌里
30078	旗山區	東平里
30079	旗山區	東平里
30080	旗山區	竹峰里
30081	旗山區	竹峰里
30082	旗山區	瑞吉里
30083	旗山區	瑞吉里
30084	旗山區	永和里
30085	旗山區	永和里
30086	旗山區	永和里
30087	旗山區	三協里
30088	旗山區	三協里
30089	旗山區	三協里
30090	旗山區	鯤洲里
30091	旗山區	大山里
30092	旗山區	中洲里
30093	旗山區	南洲里
30094	旗山區	廣福里
31095	美濃區	福安里
31096	美濃區	福安里
31097	美濃區	合和里
31098	美濃區	合和里
31099	美濃區	祿興里
310100	美濃區	祿興里
310101	美濃區	中壇里
310102	美濃區	中壇里
310103	美濃區	德興里
310104	美濃區	龍山里
310105	美濃區	龍山里
310106	美濃區	獅山里
310107	美濃區	獅山里
310108	美濃區	龍肚里
310109	美濃區	龍肚里
310110	美濃區	廣德里
310111	美濃區	興隆里
310112	美濃區	中圳里
310113	美濃區	中圳里
310114	美濃區	東門里
310115	美濃區	泰安里
310116	美濃區	瀰濃里
310117	美濃區	瀰濃里
310118	美濃區	清水里
310119	美濃區	清水里
310120	美濃區	吉洋里
310121	美濃區	吉洋里
310122	美濃區	吉和里
310123	美濃區	吉東里
310124	美濃區	吉東里
310125	美濃區	廣林里
310126	美濃區	廣林里
360127	茂林區	多納里
360128	茂林區	萬山里
360129	茂林區	茂林里
260130	茄萣區	福德里
260131	茄萣區	萬福里
260132	茄萣區	白雲里
260133	茄萣區	嘉賜里
260134	茄萣區	嘉賜里
260135	茄萣區	嘉賜里
260136	茄萣區	嘉安里
260137	茄萣區	嘉樂里
260138	茄萣區	嘉樂里
260139	茄萣區	嘉泰里
260140	茄萣區	嘉福里
260141	茄萣區	和協里
260142	茄萣區	嘉定里
260143	茄萣區	保定里
260144	茄萣區	保定里
260145	茄萣區	大定里
260146	茄萣區	光定里
260147	茄萣區	吉定里
260148	茄萣區	崎漏里
260149	茄萣區	崎漏里
260150	茄萣區	崎漏里
250151	湖內區	海山里
250152	湖內區	劉家里
250153	湖內區	太爺里
250154	湖內區	公舘里
250155	湖內區	公舘里
250156	湖內區	葉厝里
250157	湖內區	葉厝里
250158	湖內區	大湖里
250159	湖內區	大湖里
250160	湖內區	大湖里
250161	湖內區	田尾里
250162	湖內區	湖內里
250163	湖內區	湖內里
250164	湖內區	湖內里
250165	湖內區	湖內里
250166	湖內區	海埔里
250167	湖內區	海埔里
250168	湖內區	文賢里
250169	湖內區	中賢里
250170	湖內區	中賢里
250171	湖內區	逸賢里
250172	湖內區	忠興里
250173	湖內區	湖東里
250174	湖內區	湖東里
240175	路竹區	竹滬里
240176	路竹區	竹滬里
240177	路竹區	竹滬里
240178	路竹區	頂寮里
240179	路竹區	新達里
240180	路竹區	後鄉里
240181	路竹區	北嶺里
240182	路竹區	社西里
240183	路竹區	社西里
240184	路竹區	甲北里
240185	路竹區	甲北里
240186	路竹區	甲南里
240187	路竹區	甲南里
240188	路竹區	甲南里
240189	路竹區	下坑里
240190	路竹區	下坑里
240191	路竹區	下坑里
240192	路竹區	竹園里
240193	路竹區	竹園里
240194	路竹區	竹東里
240195	路竹區	竹東里
240196	路竹區	竹東里
240197	路竹區	竹西里
240198	路竹區	竹西里
240199	路竹區	文北里
240200	路竹區	文北里
240201	路竹區	文北里
240202	路竹區	文南里
240203	路竹區	文南里
240204	路竹區	三爺里
240205	路竹區	鴨寮里
240206	路竹區	鴨寮里
240207	路竹區	社東里
240208	路竹區	社中里
240209	路竹區	竹南里
240210	路竹區	竹南里
240211	路竹區	竹南里
240212	路竹區	社南里
240213	路竹區	社南里
240214	路竹區	社南里
240215	路竹區	社南里
230216	阿蓮區	石安里
230217	阿蓮區	中路里
230218	阿蓮區	中路里
230219	阿蓮區	峯山里
230220	阿蓮區	港後里
230221	阿蓮區	港後里
230222	阿蓮區	崗山里
230223	阿蓮區	阿蓮里
230224	阿蓮區	阿蓮里
230225	阿蓮區	阿蓮里
230226	阿蓮區	阿蓮里
230227	阿蓮區	清蓮里
230228	阿蓮區	清蓮里
230229	阿蓮區	和蓮里
230230	阿蓮區	和蓮里
230231	阿蓮區	青旗里
230232	阿蓮區	復安里
230233	阿蓮區	復安里
230234	阿蓮區	玉庫里
230235	阿蓮區	南蓮里
230236	阿蓮區	南蓮里
