pcode,County,City,fullcode,Name,fullname
00,000,000,00000000,全國,全國
09,000,000,9000,福建省,福建省
10,000,000,10000,臺灣省,臺灣省
63,000,000,63000,臺北市,台北市
64,000,000,64000,高雄市,高雄市
65,000,000,65000,新北市,新北市
66,000,000,66000,臺中市,台中市
67,000,000,67000,臺南市,台南市
68,000,000,68000,桃園市,桃園市
09,007,000,09007,連江縣,連江縣
09,020,000,09020,金門縣,金門縣
10,002,000,10002,宜蘭縣,宜蘭縣
10,004,000,10004,新竹縣,新竹縣
10,005,000,10005,苗栗縣,苗栗縣
10,007,000,10007,彰化縣,彰化縣
10,008,000,10008,南投縣,南投縣
10,009,000,10009,雲林縣,雲林縣
10,010,000,10010,嘉義縣,嘉義縣
10,013,000,10013,屏東縣,屏東縣
10,014,000,10014,臺東縣,台東縣
10,015,000,10015,花蓮縣,花蓮縣
10,016,000,10016,澎湖縣,澎湖縣
10,017,000,10017,基隆市,基隆市
10,018,000,10018,新竹市,新竹市
10,020,000,10020,嘉義市,嘉義市
09,007,010,09007010,南竿鄉,連江縣南竿鄉
09,007,020,09007020,北竿鄉,連江縣北竿鄉
09,007,030,09007030,莒光鄉,連江縣莒光鄉
09,007,040,09007040,東引鄉,連江縣東引鄉
09,020,010,09020010,金城鎮,金門縣金城鎮
09,020,020,09020020,金沙鎮,金門縣金沙鎮
09,020,030,09020030,金湖鎮,金門縣金湖鎮
09,020,040,09020040,金寧鄉,金門縣金寧鄉
09,020,050,09020050,烈嶼鄉,金門縣烈嶼鄉
09,020,060,09020060,烏坵鄉,金門縣烏坵鄉
10,002,010,10002010,宜蘭市,宜蘭縣宜蘭市
10,002,020,10002020,羅東鎮,宜蘭縣羅東鎮
10,002,030,10002030,蘇澳鎮,宜蘭縣蘇澳鎮
10,002,040,10002040,頭城鎮,宜蘭縣頭城鎮
10,002,050,10002050,礁溪鄉,宜蘭縣礁溪鄉
10,002,060,10002060,壯圍鄉,宜蘭縣壯圍鄉
10,002,070,10002070,員山鄉,宜蘭縣員山鄉
10,002,080,10002080,冬山鄉,宜蘭縣冬山鄉
10,002,090,10002090,五結鄉,宜蘭縣五結鄉
10,002,100,10002100,三星鄉,宜蘭縣三星鄉
10,002,110,10002110,大同鄉,宜蘭縣大同鄉
10,002,120,10002120,南澳鄉,宜蘭縣南澳鄉
10,004,010,10004010,竹北市,新竹縣竹北市
10,004,020,10004020,竹東鎮,新竹縣竹東鎮
10,004,030,10004030,新埔鎮,新竹縣新埔鎮
10,004,040,10004040,關西鎮,新竹縣關西鎮
10,004,050,10004050,湖口鄉,新竹縣湖口鄉
10,004,060,10004060,新豐鄉,新竹縣新豐鄉
10,004,070,10004070,芎林鄉,新竹縣芎林鄉
10,004,080,10004080,橫山鄉,新竹縣橫山鄉
10,004,090,10004090,北埔鄉,新竹縣北埔鄉
10,004,100,10004100,寶山鄉,新竹縣寶山鄉
10,004,110,10004110,峨眉鄉,新竹縣峨眉鄉
10,004,120,10004120,尖石鄉,新竹縣尖石鄉
10,004,130,10004130,五峰鄉,新竹縣五峰鄉
10,005,010,10005010,苗栗市,苗栗縣苗栗市
10,005,020,10005020,苑裡鎮,苗栗縣苑裡鎮
10,005,030,10005030,通霄鎮,苗栗縣通霄鎮
10,005,040,10005040,竹南鎮,苗栗縣竹南鎮
10,005,050,10005050,頭份市,苗栗縣頭份市
10,005,060,10005060,後龍鎮,苗栗縣後龍鎮
10,005,070,10005070,卓蘭鎮,苗栗縣卓蘭鎮
10,005,080,10005080,大湖鄉,苗栗縣大湖鄉
10,005,090,10005090,公館鄉,苗栗縣公館鄉
10,005,100,10005100,銅鑼鄉,苗栗縣銅鑼鄉
10,005,110,10005110,南庄鄉,苗栗縣南庄鄉
10,005,120,10005120,頭屋鄉,苗栗縣頭屋鄉
10,005,130,10005130,三義鄉,苗栗縣三義鄉
10,005,140,10005140,西湖鄉,苗栗縣西湖鄉
10,005,150,10005150,造橋鄉,苗栗縣造橋鄉
10,005,160,10005160,三灣鄉,苗栗縣三灣鄉
10,005,170,10005170,獅潭鄉,苗栗縣獅潭鄉
10,005,180,10005180,泰安鄉,苗栗縣泰安鄉
10,007,010,10007010,彰化市,彰化縣彰化市
10,007,020,10007020,鹿港鎮,彰化縣鹿港鎮
10,007,030,10007030,和美鎮,彰化縣和美鎮
10,007,040,10007040,線西鄉,彰化縣線西鄉
10,007,050,10007050,伸港鄉,彰化縣伸港鄉
10,007,060,10007060,福興鄉,彰化縣福興鄉
10,007,070,10007070,秀水鄉,彰化縣秀水鄉
10,007,080,10007080,花壇鄉,彰化縣花壇鄉
10,007,090,10007090,芬園鄉,彰化縣芬園鄉
10,007,100,10007100,員林市,彰化縣員林市
10,007,110,10007110,溪湖鎮,彰化縣溪湖鎮
10,007,120,10007120,田中鎮,彰化縣田中鎮
10,007,130,10007130,大村鄉,彰化縣大村鄉
10,007,140,10007140,埔鹽鄉,彰化縣埔鹽鄉
10,007,150,10007150,埔心鄉,彰化縣埔心鄉
10,007,160,10007160,永靖鄉,彰化縣永靖鄉
10,007,170,10007170,社頭鄉,彰化縣社頭鄉
10,007,180,10007180,二水鄉,彰化縣二水鄉
10,007,190,10007190,北斗鎮,彰化縣北斗鎮
10,007,200,10007200,二林鎮,彰化縣二林鎮
10,007,210,10007210,田尾鄉,彰化縣田尾鄉
10,007,220,10007220,埤頭鄉,彰化縣埤頭鄉
10,007,230,10007230,芳苑鄉,彰化縣芳苑鄉
10,007,240,10007240,大城鄉,彰化縣大城鄉
10,007,250,10007250,竹塘鄉,彰化縣竹塘鄉
10,007,260,10007260,溪州鄉,彰化縣溪州鄉
10,008,010,10008010,南投市,南投縣南投市
10,008,020,10008020,埔里鎮,南投縣埔里鎮
10,008,030,10008030,草屯鎮,南投縣草屯鎮
10,008,040,10008040,竹山鎮,南投縣竹山鎮
10,008,050,10008050,集集鎮,南投縣集集鎮
10,008,060,10008060,名間鄉,南投縣名間鄉
10,008,070,10008070,鹿谷鄉,南投縣鹿谷鄉
10,008,080,10008080,中寮鄉,南投縣中寮鄉
10,008,090,10008090,魚池鄉,南投縣魚池鄉
10,008,100,10008100,國姓鄉,南投縣國姓鄉
10,008,110,10008110,水里鄉,南投縣水里鄉
10,008,120,10008120,信義鄉,南投縣信義鄉
10,008,130,10008130,仁愛鄉,南投縣仁愛鄉
10,009,010,10009010,斗六市,雲林縣斗六市
10,009,020,10009020,斗南鎮,雲林縣斗南鎮
10,009,030,10009030,虎尾鎮,雲林縣虎尾鎮
10,009,040,10009040,西螺鎮,雲林縣西螺鎮
10,009,050,10009050,土庫鎮,雲林縣土庫鎮
10,009,060,10009060,北港鎮,雲林縣北港鎮
10,009,070,10009070,古坑鄉,雲林縣古坑鄉
10,009,080,10009080,大埤鄉,雲林縣大埤鄉
10,009,090,10009090,莿桐鄉,雲林縣莿桐鄉
10,009,100,10009100,林內鄉,雲林縣林內鄉
10,009,110,10009110,二崙鄉,雲林縣二崙鄉
10,009,120,10009120,崙背鄉,雲林縣崙背鄉
10,009,130,10009130,麥寮鄉,雲林縣麥寮鄉
10,009,140,10009140,東勢鄉,雲林縣東勢鄉
10,009,150,10009150,褒忠鄉,雲林縣褒忠鄉
10,009,160,10009160,臺西鄉,雲林縣臺西鄉
10,009,170,10009170,元長鄉,雲林縣元長鄉
10,009,180,10009180,四湖鄉,雲林縣四湖鄉
10,009,190,10009190,口湖鄉,雲林縣口湖鄉
10,009,200,10009200,水林鄉,雲林縣水林鄉
10,010,010,10010010,太保市,嘉義縣太保市
10,010,020,10010020,朴子市,嘉義縣朴子市
10,010,030,10010030,布袋鎮,嘉義縣布袋鎮
10,010,040,10010040,大林鎮,嘉義縣大林鎮
10,010,050,10010050,民雄鄉,嘉義縣民雄鄉
10,010,060,10010060,溪口鄉,嘉義縣溪口鄉
10,010,070,10010070,新港鄉,嘉義縣新港鄉
10,010,080,10010080,六腳鄉,嘉義縣六腳鄉
10,010,090,10010090,東石鄉,嘉義縣東石鄉
