,countyCode,prog,countyName,regionCode,regionName,electionType,candTksInfo,seats,allTowns
0,09007,1.0,連江縣,0900701,連江縣第1選舉區,縣市議員,"[{'candNo': 1, 'tks': 543, 'candVictor': '*', 'tksRate': 13.04, 'name': '楊清宇', 'party': '國民黨'}, {'candNo': 2, 'tks': 652, 'candVictor': '*', 'tksRate': 15.65, 'name': '林明揚', 'party': '國民黨'}, {'candNo': 3, 'tks': 507, 'candVictor': ' ', 'tksRate': 12.17, 'name': '林惠萍', 'party': '無黨籍'}, {'candNo': 4, 'tks': 735, 'candVictor': '*', 'tksRate': 17.65, 'name': '曹以標', 'party': '無黨籍'}, {'candNo': 5, 'tks': 475, 'candVictor': ' ', 'tksRate': 11.4, 'name': '陳書建', 'party': '國民黨'}, {'candNo': 6, 'tks': 660, 'candVictor': '*', 'tksRate': 15.85, 'name': '劉浩晨', 'party': '民進黨'}, {'candNo': 7, 'tks': 593, 'candVictor': '*', 'tksRate': 14.24, 'name': '曹丞君', 'party': '國民黨'}]",5,['南竿鄉']
1,09007,1.0,連江縣,0900702,連江縣第2選舉區,縣市議員,"[{'candNo': 1, 'tks': 315, 'candVictor': ' ', 'tksRate': 24.76, 'name': '陳玉發', 'party': '國民黨'}, {'candNo': 2, 'tks': 504, 'candVictor': '*', 'tksRate': 39.62, 'name': '陳如嵐', 'party': '國民黨'}, {'candNo': 3, 'tks': 453, 'candVictor': '*', 'tksRate': 35.61, 'name': '周瑞國', 'party': '國民黨'}]",2,['北竿鄉']
2,09007,1.0,連江縣,0900703,連江縣第3選舉區,縣市議員,"[{'candNo': 1, 'tks': 379, 'candVictor': ' ', 'tksRate': 48.9, 'name': '陳貽斌', 'party': '國民黨'}, {'candNo': 2, 'tks': 396, 'candVictor': '*', 'tksRate': 51.1, 'name': '陳善澔', 'party': '無黨籍'}]",1,['莒光鄉']
3,09007,1.0,連江縣,0900704,連江縣第4選舉區,縣市議員,"[{'candNo': 1, 'tks': 188, 'candVictor': ' ', 'tksRate': 28.06, 'name': '張永江', 'party': '國民黨'}, {'candNo': 2, 'tks': 482, 'candVictor': '*', 'tksRate': 71.94, 'name': '馮印才', 'party': '無黨籍'}]",1,['東引鄉']
4,09020,1.0,金門縣,0902001,金門縣第1選舉區,縣市議員,"[{'candNo': 1, 'tks': 2187, 'candVictor': '*', 'tksRate': 4.95, 'name': '胡凱宇', 'party': '無黨籍'}, {'candNo': 2, 'tks': 2385, 'candVictor': '*', 'tksRate': 5.39, 'name': '董森堡', 'party': '無黨籍'}, {'candNo': 3, 'tks': 1945, 'candVictor': ' ', 'tksRate': 4.4, 'name': '翁文奧', 'party': '無黨籍'}, {'candNo': 4, 'tks': 1977, 'candVictor': ' ', 'tksRate': 4.47, 'name': '許大鴻', 'party': '無黨籍'}, {'candNo': 5, 'tks': 2173, 'candVictor': ' ', 'tksRate': 4.91, 'name': '王碧珍', 'party': '無黨籍'}, {'candNo': 6, 'tks': 1828, 'candVictor': ' ', 'tksRate': 4.13, 'name': '唐麗輝', 'party': '無黨籍'}, {'candNo': 7, 'tks': 1980, 'candVictor': ' ', 'tksRate': 4.48, 'name': '李養生', 'party': '無黨籍'}, {'candNo': 8, 'tks': 1907, 'candVictor': ' ', 'tksRate': 4.31, 'name': '洪允典', 'party': '國民黨'}, {'candNo': 9, 'tks': 2090, 'candVictor': ' ', 'tksRate': 4.73, 'name': '陳泱瑚', 'party': '無黨籍'}, {'candNo': 10, 'tks': 2399, 'candVictor': '*', 'tksRate': 5.43, 'name': '楊永立', 'party': '國民黨'}, {'candNo': 11, 'tks': 2607, 'candVictor': '*', 'tksRate': 5.9, 'name': '周曉芸', 'party': '民眾黨'}, {'candNo': 12, 'tks': 2405, 'candVictor': '*', 'tksRate': 5.44, 'name': '蔡其雍', 'party': '民進黨'}, {'candNo': 13, 'tks': 1880, 'candVictor': ' ', 'tksRate': 4.25, 'name': '楊霈璿', 'party': '無黨籍'}, {'candNo': 14, 'tks': 2665, 'candVictor': '*', 'tksRate': 6.03, 'name': '許玉昭', 'party': '國民黨'}, {'candNo': 15, 'tks': 2180, 'candVictor': '*', 'tksRate': 4.93, 'name': '石永城', 'party': '無黨籍'}, {'candNo': 16, 'tks': 2147, 'candVictor': ' ', 'tksRate': 4.86, 'name': '歐陽儀雄', 'party': '國民黨'}]",10,"['金城鎮', '金寧鄉', '烏坵鄉']"
5,09020,1.0,金門縣,0902002,金門縣第2選舉區,縣市議員,"[{'candNo': 1, 'tks': 2297, 'candVictor': '*', 'tksRate': 8.11, 'name': '張雲量', 'party': '無黨籍'}, {'candNo': 2, 'tks': 2162, 'candVictor': '-', 'tksRate': 7.63, 'name': '吳佩雯', 'party': '無黨籍'}, {'candNo': 3, 'tks': 2152, 'candVictor': ' ', 'tksRate': 7.6, 'name': '林長鴻', 'party': '國民黨'}, {'candNo': 4, 'tks': 2133, 'candVictor': ' ', 'tksRate': 7.53, 'name': '蔡水游', 'party': '無黨籍'}, {'candNo': 5, 'tks': 2266, 'candVictor': '*', 'tksRate': 8.0, 'name': '王秀玉', 'party': '國民黨'}, {'candNo': 6, 'tks': 1930, 'candVictor': ' ', 'tksRate': 6.81, 'name': '周子傑', 'party': '國民黨'}, {'candNo': 7, 'tks': 1758, 'candVictor': '!', 'tksRate': 6.21, 'name': '楊育菡', 'party': '無黨籍'}, {'candNo': 8, 'tks': 2234, 'candVictor': '*', 'tksRate': 7.89, 'name': '馬自壯', 'party': '國民黨'}, {'candNo': 9, 'tks': 2694, 'candVictor': '*', 'tksRate': 9.51, 'name': '王國代', 'party': '國民黨'}, {'candNo': 10, 'tks': 2306, 'candVictor': '*', 'tksRate': 8.14, 'name': '歐陽豪', 'party': '無黨籍'}, {'candNo': 11, 'tks': 2069, 'candVictor': ' ', 'tksRate': 7.3, 'name': '吳金鏷', 'party': '無黨籍'}, {'candNo': 12, 'tks': 1820, 'candVictor': ' ', 'tksRate': 6.42, 'name': '黃子誠', 'party': '無黨籍'}, {'candNo': 13, 'tks': 2506, 'candVictor': '*', 'tksRate': 8.85, 'name': '陳錦偉', 'party': '無黨籍'}]",7,"['金湖鎮', '金沙鎮']"
6,09020,1.0,金門縣,0902003,金門縣第3選舉區,縣市議員,"[{'candNo': 1, 'tks': 1665, 'candVictor': '*', 'tksRate': 25.35, 'name': '洪鴻斌', 'party': '無黨籍'}, {'candNo': 2, 'tks': 2095, 'candVictor': '*', 'tksRate': 31.89, 'name': '吳嘉將', 'party': '無黨籍'}, {'candNo': 3, 'tks': 1530, 'candVictor': ' ', 'tksRate': 23.29, 'name': '洪成發', 'party': '國民黨'}]",2,['烈嶼鄉']
7,10002,1.0,宜蘭縣,1000201,宜蘭縣第1選舉區,縣市議員,"[{'candNo': 1, 'tks': 2446, 'candVictor': ' ', 'tksRate': 5.35, 'name': '林岳賢', 'party': '國民黨'}, {'candNo': 2, 'tks': 2776, 'candVictor': '*', 'tksRate': 6.07, 'name': '吳長青', 'party': '無黨籍'}, {'candNo': 3, 'tks': 2560, 'candVictor': ' ', 'tksRate': 5.6, 'name': '潘淑芬', 'party': '無黨籍'}, {'candNo': 4, 'tks': 2502, 'candVictor': ' ', 'tksRate': 5.48, 'name': '孫博萮', 'party': '無黨籍'}, {'candNo': 5, 'tks': 2710, 'candVictor': '*', 'tksRate': 5.93, 'name': '黃定和', 'party': '無黨籍'}, {'candNo': 6, 'tks': 2961, 'candVictor': '*', 'tksRate': 6.48, 'name': '楊順木', 'party': '正神名黨'}, {'candNo': 7, 'tks': 2435, 'candVictor': ' ', 'tksRate': 5.33, 'name': '黃惠慈', 'party': '民進黨'}, {'candNo': 8, 'tks': 2156, 'candVictor': ' ', 'tksRate': 4.72, 'name': '莊淑如', 'party': '國民黨'}, {'candNo': 9, 'tks': 2508, 'candVictor': ' ', 'tksRate': 5.49, 'name': '胡健森', 'party': '無黨籍'}, {'candNo': 10, 'tks': 2711, 'candVictor': '*', 'tksRate': 5.93, 'name': '林正芳', 'party': '時代力量'}, {'candNo': 11, 'tks': 2928, 'candVictor': '*', 'tksRate': 6.41, 'name': '吳福田', 'party': '民進黨'}, {'candNo': 12, 'tks': 1796, 'candVictor': ' ', 'tksRate': 3.93, 'name': '林錫明', 'party': '無黨籍'}, {'candNo': 13, 'tks': 3193, 'candVictor': '*', 'tksRate': 6.99, 'name': '林麗', 'party': '民進黨'}, {'candNo': 14, 'tks': 2186, 'candVictor': ' ', 'tksRate': 4.78, 'name': '尤文瀚', 'party': '台灣民眾黨'}, {'candNo': 15, 'tks': 1879, 'candVictor': ' ', 'tksRate': 4.11, 'name': '張勝德', 'party': '國民黨'}, {'candNo': 16, 'tks': 2488, 'candVictor': ' ', 'tksRate': 5.44, 'name': '魯秀傑', 'party': '無黨籍'}, {'candNo': 17, 'tks': 2645, 'candVictor': ' ', 'tksRate': 5.79, 'name': '陳漢澤', 'party': '台灣基進'}]",7,['宜蘭市']
8,10002,1.0,宜蘭縣,1000202,宜蘭縣第2選舉區,縣市議員,"[{'candNo': 1, 'tks': 2197, 'candVictor': ' ', 'tksRate': 15.92, 'name': '林詩穎', 'party': '民進黨'}, {'candNo': 2, 'tks': 2780, 'candVictor': '*', 'tksRate': 20.15, 'name': '賴良洲', 'party': '國民黨'}, {'candNo': 3, 'tks': 2722, 'candVictor': ' ', 'tksRate': 19.73, 'name': '簡英俊', 'party': '無黨籍'}, {'candNo': 4, 'tks': 3525, 'candVictor': '*', 'tksRate': 25.55, 'name': '林東成', 'party': '無黨籍'}]",2,['頭城鎮']
9,10002,1.0,宜蘭縣,1000203,宜蘭縣第3選舉區,縣市議員,"[{'candNo': 1, 'tks': 5533, 'candVictor': '*', 'tksRate': 28.59, 'name': '吳宏謀', 'party': '民進黨'}, {'candNo': 2, 'tks': 4299, 'candVictor': ' ', 'tksRate': 22.21, 'name': '李清林', 'party': '國民黨'}, {'candNo': 3, 'tks': 5792, 'candVictor': '*', 'tksRate': 29.93, 'name': '林聰池', 'party': '無黨籍'}]",2,['礁溪鄉']
