county,regionName,name,no,seats,party,regionCode
台中市,台中市第10選舉區,許瑞宏,7,3,台灣民眾黨,6600010
台中市,台中市第10選舉區,張彥彤,6,3,國民黨,6600010
台中市,台中市第10選舉區,黃敬傑,5,3,無黨籍,6600010
台中市,台中市第10選舉區,江肇國,4,3,民進黨,6600010
台中市,台中市第10選舉區,黃守達,3,3,民進黨,6600010
台中市,台中市第10選舉區,林京玲,2,3,無黨籍,6600010
台中市,台中市第10選舉區,紀文清,1,3,無黨籍,6600010
台中市,台中市第11選舉區,鄭功進,11,5,民進黨,6600011
台中市,台中市第11選舉區,林霈涵,10,5,國民黨,6600011
台中市,台中市第11選舉區,林俊凱,9,5,台灣民眾黨,6600011
台中市,台中市第11選舉區,陳雅惠,8,5,民進黨,6600011
台中市,台中市第11選舉區,李中,7,5,國民黨,6600011
台中市,台中市第11選舉區,羅廷瑋,6,5,國民黨,6600011
台中市,台中市第11選舉區,林文仲,5,5,無黨籍,6600011
台中市,台中市第11選舉區,翁俊楠,4,5,無黨籍,6600011
台中市,台中市第11選舉區,徐小媚,3,5,時代力量,6600011
台中市,台中市第11選舉區,張鈺偵,2,5,小民參政歐巴桑聯盟,6600011
台中市,台中市第11選舉區,何昆霖,1,5,民進黨,6600011
台中市,台中市第12選舉區,黃佳恬,7,4,國民黨,6600012
台中市,台中市第12選舉區,蔡耀頡,6,4,民進黨,6600012
台中市,台中市第12選舉區,葉諾凡,5,4,台灣民眾黨,6600012
台中市,台中市第12選舉區,林宜蓁,4,4,台灣基進,6600012
台中市,台中市第12選舉區,賴義鍠,3,4,國民黨,6600012
台中市,台中市第12選舉區,吳吉森,2,4,無黨籍,6600012
台中市,台中市第12選舉區,張玉嬿,1,4,民進黨,6600012
台中市,台中市第13選舉區,李天生,14,6,民進黨,6600013
台中市,台中市第13選舉區,陳裕承,13,6,無黨籍,6600013
台中市,台中市第13選舉區,鄭伯其,12,6,國民黨,6600013
台中市,台中市第13選舉區,林子傑,11,6,無黨籍,6600013
台中市,台中市第13選舉區,鄒明諺,10,6,時代力量,6600013
台中市,台中市第13選舉區,蘇柏興,9,6,國民黨,6600013
台中市,台中市第13選舉區,張滄沂,8,6,無黨籍,6600013
台中市,台中市第13選舉區,江和樹,7,6,台灣民眾黨,6600013
台中市,台中市第13選舉區,林德宇,6,6,民進黨,6600013
台中市,台中市第13選舉區,段中仁,5,6,無黨籍,6600013
台中市,台中市第13選舉區,楊偉浚,4,6,無黨籍,6600013
