city,area,regionName,seats,area,cityCode,regionCode
台北市,第1選舉區,台北市第1選舉區,12,01,63000,6300001
台北市,第2選舉區,台北市第2選舉區,9,02,63000,6300002
台北市,第3選舉區,台北市第3選舉區,9,03,63000,6300003
台北市,第4選舉區,台北市第4選舉區,8,04,63000,6300004
台北市,第5選舉區,台北市第5選舉區,8,05,63000,6300005
台北市,第6選舉區,台北市第6選舉區,13,06,63000,6300006
台北市,第7選舉區,台北市第7選舉區,1,07,63000,6300007
台北市,第8選舉區,台北市第8選舉區,1,08,63000,6300008
新北市,第1選舉區,新北市第1選舉區,4,01,65000,6500001
新北市,第2選舉區,新北市第2選舉區,4,02,65000,6500002
新北市,第3選舉區,新北市第3選舉區,7,03,65000,6500003
新北市,第4選舉區,新北市第4選舉區,9,04,65000,6500004
新北市,第5選舉區,新北市第5選舉區,9,05,65000,6500005
新北市,第6選舉區,新北市第6選舉區,6,06,65000,6500006
新北市,第7選舉區,新北市第7選舉區,3,07,65000,6500007
新北市,第8選舉區,新北市第8選舉區,10,08,65000,6500008
新北市,第9選舉區,新北市第9選舉區,5,09,65000,6500009
新北市,第10選舉區,新北市第10選舉區,1,10,65000,6500010
新北市,第11選舉區,新北市第11選舉區,4,11,65000,6500011
新北市,第12選舉區,新北市第12選舉區,3,12,65000,6500012
新北市,第13選舉區,新北市第13選舉區,1,13,65000,6500013
桃園市,第1選舉區,桃園市第1選舉區,12,01,68000,6800001
桃園市,第2選舉區,桃園市第2選舉區,4,02,68000,6800002
桃園市,第3選舉區,桃園市第3選舉區,5,03,68000,6800003
桃園市,第4選舉區,桃園市第4選舉區,4,04,68000,6800004
桃園市,第5選舉區,桃園市第5選舉區,2,05,68000,6800005
桃園市,第6選舉區,桃園市第6選舉區,2,06,68000,6800006
桃園市,第7選舉區,桃園市第7選舉區,11,07,68000,6800007
桃園市,第8選舉區,桃園市第8選舉區,6,08,68000,6800008
桃園市,第9選舉區,桃園市第9選舉區,4,09,68000,6800009
桃園市,第10選舉區,桃園市第10選舉區,3,10,68000,6800010
桃園市,第11選舉區,桃園市第11選舉區,1,11,68000,6800011
桃園市,第12選舉區,桃園市第12選舉區,2,12,68000,6800012
桃園市,第13選舉區,桃園市第13選舉區,4,13,68000,6800013
桃園市,第14選舉區,桃園市第14選舉區,3,14,68000,6800014
台中市,第1選舉區,台中市第1選舉區,3,01,66000,6600001
台中市,第2選舉區,台中市第2選舉區,5,02,66000,6600002
台中市,第3選舉區,台中市第3選舉區,5,03,66000,6600003
台中市,第4選舉區,台中市第4選舉區,5,04,66000,6600004
台中市,第5選舉區,台中市第5選舉區,6,05,66000,6600005
台中市,第6選舉區,台中市第6選舉區,5,06,66000,6600006
台中市,第7選舉區,台中市第7選舉區,4,07,66000,6600007
台中市,第8選舉區,台中市第8選舉區,6,08,66000,6600008
台中市,第9選舉區,台中市第9選舉區,3,09,66000,6600009
台中市,第10選舉區,台中市第10選舉區,3,10,66000,6600010
台中市,第11選舉區,台中市第11選舉區,5,11,66000,6600011
台中市,第12選舉區,台中市第12選舉區,4,12,66000,6600012
台中市,第13選舉區,台中市第13選舉區,6,13,66000,6600013
台中市,第14選舉區,台中市第14選舉區,2,14,66000,6600014
台中市,第15選舉區,台中市第15選舉區,1,15,66000,6600015
台中市,第16選舉區,台中市第16選舉區,1,16,66000,6600016
台中市,第17選舉區,台中市第17選舉區,1,17,66000,6600017
台南市,第1選舉區,台南市第1選舉區,6,01,67000,6700001
台南市,第2選舉區,台南市第2選舉區,5,02,67000,6700002
台南市,第3選舉區,台南市第3選舉區,3,03,67000,6700003
台南市,第4選舉區,台南市第4選舉區,1,04,67000,6700004
台南市,第5選舉區,台南市第5選舉區,5,05,67000,6700005
台南市,第6選舉區,台南市第6選舉區,6,06,67000,6700006
