regionCode,regionName,Towns,townCode
6300001,台北市第1選舉區,北投區,63000120
6300001,台北市第1選舉區,士林區,63000110
6300002,台北市第2選舉區,內湖區,63000100
6300002,台北市第2選舉區,南港區,63000090
6300003,台北市第3選舉區,松山區,63000010
6300003,台北市第3選舉區,信義區,63000020
6300004,台北市第4選舉區,中山區,63000040
6300004,台北市第4選舉區,大同區,63000060
6300005,台北市第5選舉區,中正區,63000050
6300005,台北市第5選舉區,萬華區,63000070
6300006,台北市第6選舉區,大安區,63000030
6300006,台北市第6選舉區,文山區,63000080
6300007,台北市第7選舉區,北投區,63000120
6300007,台北市第7選舉區,士林區,63000110
6300007,台北市第7選舉區,內湖區,63000100
6300007,台北市第7選舉區,南港區,63000090
6300007,台北市第7選舉區,松山區,63000010
6300007,台北市第7選舉區,信義區,63000020
6300007,台北市第7選舉區,中山區,63000040
6300007,台北市第7選舉區,大同區,63000060
6300007,台北市第7選舉區,中正區,63000050
6300007,台北市第7選舉區,萬華區,63000070
6300007,台北市第7選舉區,大安區,63000030
6300007,台北市第7選舉區,文山區,63000080
6300008,台北市第8選舉區,北投區,63000120
6300008,台北市第8選舉區,士林區,63000110
6300008,台北市第8選舉區,內湖區,63000100
6300008,台北市第8選舉區,南港區,63000090
6300008,台北市第8選舉區,松山區,63000010
6300008,台北市第8選舉區,信義區,63000020
6300008,台北市第8選舉區,中山區,63000040
6300008,台北市第8選舉區,大同區,63000060
6300008,台北市第8選舉區,中正區,63000050
6300008,台北市第8選舉區,萬華區,63000070
6300008,台北市第8選舉區,大安區,63000030
6300008,台北市第8選舉區,文山區,63000080
6500001,新北市第1選舉區,石門區,65000220
6500001,新北市第1選舉區,三芝區,65000210
6500001,新北市第1選舉區,淡水區,65000100
6500001,新北市第1選舉區,八里區,65000230
6500002,新北市第2選舉區,林口區,65000170
6500002,新北市第2選舉區,五股區,65000150
6500002,新北市第2選舉區,泰山區,65000160
6500003,新北市第3選舉區,新莊區,65000050
6500004,新北市第4選舉區,蘆洲區,65000140
6500004,新北市第4選舉區,三重區,65000020
6500005,新北市第5選舉區,板橋區,65000010
6500006,新北市第6選舉區,中和區,65000030
6500007,新北市第7選舉區,永和區,65000040
6500008,新北市第8選舉區,樹林區,65000070
6500008,新北市第8選舉區,鶯歌區,65000080
6500008,新北市第8選舉區,土城區,65000130
6500008,新北市第8選舉區,三峽區,65000090
6500009,新北市第9選舉區,新店區,65000060
6500009,新北市第9選舉區,深坑區,65000180
6500009,新北市第9選舉區,石碇區,65000190
6500009,新北市第9選舉區,坪林區,65000200
6500009,新北市第9選舉區,烏來區,65000290
6500010,新北市第10選舉區,平溪區,65000240
6500010,新北市第10選舉區,瑞芳區,65000120
