,regionName,includeTowns
0,台北市第1選舉區,"['北投區', '士林區']"
2,台北市第2選舉區,"['內湖區', '南港區']"
4,台北市第3選舉區,"['松山區', '信義區']"
6,台北市第4選舉區,"['中山區', '大同區']"
8,台北市第5選舉區,"['中正區', '萬華區']"
10,台北市第6選舉區,"['大安區', '文山區']"
12,台北市第7選舉區,"['北投區', '士林區', '內湖區', '南港區', '松山區', '信義區', '中山區', '大同區', '中正區', '萬華區', '大安區', '文山區']"
24,台北市第8選舉區,"['北投區', '士林區', '內湖區', '南港區', '松山區', '信義區', '中山區', '大同區', '中正區', '萬華區', '大安區', '文山區']"
36,新北市第1選舉區,"['石門區', '三芝區', '淡水區', '八里區']"
40,新北市第2選舉區,"['林口區', '五股區', '泰山區']"
43,新北市第3選舉區,['新莊區']
44,新北市第4選舉區,"['蘆洲區', '三重區']"
46,新北市第5選舉區,['板橋區']
47,新北市第6選舉區,['中和區']
48,新北市第7選舉區,['永和區']
49,新北市第8選舉區,"['樹林區', '鶯歌區', '土城區', '三峽區']"
53,新北市第9選舉區,"['新店區', '深坑區', '石碇區', '坪林區', '烏來區']"
58,新北市第10選舉區,"['平溪區', '瑞芳區', '雙溪區', '貢寮區']"
62,新北市第11選舉區,"['金山區', '萬里區', '汐止區']"
65,新北市第12選舉區,"['石門區', '三芝區', '淡水區', '八里區', '林口區', '五股區', '泰山區', '新莊區', '蘆洲區', '三重區', '板橋區', '中和區', '永和區', '樹林區', '鶯歌區', '土城區', '三峽區', '新店區', '深坑區', '石碇區', '坪林區', '烏來區', '平溪區', '瑞芳區', '雙溪區', '貢寮區', '金山區', '萬里區', '汐止區']"
94,新北市第13選舉區,"['石門區', '三芝區', '淡水區', '八里區', '林口區', '五股區', '泰山區', '新莊區', '蘆洲區', '三重區', '板橋區', '中和區', '永和區', '樹林區', '鶯歌區', '土城區', '三峽區', '新店區', '深坑區', '石碇區', '坪林區', '烏來區', '平溪區', '瑞芳區', '雙溪區', '貢寮區', '金山區', '萬里區', '汐止區']"
123,桃園市第1選舉區,['桃園區']
124,桃園市第2選舉區,['龜山區']
125,桃園市第3選舉區,['八德區']
126,桃園市第4選舉區,['蘆竹區']
127,桃園市第5選舉區,['大園區']
128,桃園市第6選舉區,"['大溪區', '復興區']"
130,桃園市第7選舉區,['中壢區']
131,桃園市第8選舉區,['平鎮區']
132,桃園市第9選舉區,['楊梅區']
133,桃園市第10選舉區,['龍潭區']
134,桃園市第11選舉區,['新屋區']
135,桃園市第12選舉區,['觀音區']
136,桃園市第13選舉區,"['桃園區', '龜山區', '八德區', '蘆竹區', '大園區', '大溪區', '復興區', '中壢區', '平鎮區', '楊梅區', '龍潭區', '新屋區', '觀音區']"
149,桃園市第14選舉區,"['桃園區', '龜山區', '八德區', '蘆竹區', '大園區', '大溪區', '復興區', '中壢區', '平鎮區', '楊梅區', '龍潭區', '新屋區', '觀音區']"
162,台中市第1選舉區,"['大甲區', '大安區', '外埔區']"
165,台中市第2選舉區,"['清水區', '梧棲區', '沙鹿區']"
168,台中市第3選舉區,"['龍井區', '大肚區', '烏日區']"
171,台中市第4選舉區,"['后里區', '豐原區']"
173,台中市第5選舉區,"['神岡區', '大雅區', '潭子區']"
176,台中市第6選舉區,['西屯區']
177,台中市第7選舉區,['南屯區']
178,台中市第8選舉區,['北屯區']
179,台中市第9選舉區,['北區']
180,台中市第10選舉區,"['中區', '西區']"
182,台中市第11選舉區,"['東區', '南區']"
184,台中市第12選舉區,['太平區']
185,台中市第13選舉區,"['大里區', '霧峰區']"
187,台中市第14選舉區,"['東勢區', '石岡區', '新社區', '和平區']"
191,台中市第15選舉區,"['大甲區', '大安區', '外埔區', '清水區', '梧棲區', '沙鹿區', '龍井區', '大肚區', '烏日區', '后里區', '豐原區', '神岡區', '大雅區', '潭子區', '西屯區', '南屯區', '北屯區', '北區', '中區', '西區', '東區', '南區', '太平區', '大里區', '霧峰區', '東勢區', '石岡區', '新社區', '和平區']"
220,台中市第16選舉區,"['和平區', '大甲區', '大安區', '外埔區', '清水區', '后里區', '豐原區', '神岡區', '大雅區', '潭子區', '東勢區', '石岡區', '新社區']"
233,台中市第17選舉區,"['梧棲區', '沙鹿區', '龍井區', '大肚區', '烏日區', '西屯區', '南屯區', '北屯區', '北區', '中區', '西區', '東區', '南區', '太平區', '大里區', '霧峰區']"
249,台南市第1選舉區,"['後壁區', '白河區', '東山區', '鹽水區', '新營區', '柳營區']"
255,台南市第2選舉區,"['北門區', '學甲區', '將軍區', '七股區', '佳里區', '西港區']"
261,台南市第3選舉區,"['下營區', '六甲區', '麻豆區', '官田區', '大內區']"
266,台南市第4選舉區,"['楠西區', '南化區', '玉井區', '左鎮區']"
270,台南市第5選舉區,"['善化區', '安定區', '新市區', '山上區', '新化區']"
275,台南市第6選舉區,['安南區']
276,台南市第7選舉區,['永康區']
277,台南市第8選舉區,"['北區', '中西區']"
279,台南市第9選舉區,"['安平區', '南區']"
281,台南市第10選舉區,['東區']
282,台南市第11選舉區,"['仁德區', '歸仁區', '關廟區', '龍崎區']"
286,台南市第12選舉區,"['後壁區', '白河區', '東山區', '鹽水區', '新營區', '柳營區', '北門區', '學甲區', '將軍區', '七股區', '佳里區', '西港區', '下營區', '六甲區', '麻豆區', '官田區', '大內區', '楠西區', '南化區', '玉井區', '左鎮區', '善化區', '安定區', '新市區', '山上區', '新化區', '安南區', '永康區', '北區', '中西區', '安平區', '南區', '東區', '仁德區', '歸仁區', '關廟區', '龍崎區']"
323,台南市第13選舉區,"['後壁區', '白河區', '東山區', '鹽水區', '新營區', '柳營區', '北門區', '學甲區', '將軍區', '七股區', '佳里區', '西港區', '下營區', '六甲區', '麻豆區', '官田區', '大內區', '楠西區', '南化區', '玉井區', '左鎮區', '善化區', '安定區', '新市區', '山上區', '新化區', '安南區', '永康區', '北區', '中西區', '安平區', '南區', '東區', '仁德區', '歸仁區', '關廟區', '龍崎區']"
360,高雄市第1選舉區,"['桃源區', '那瑪夏區', '甲仙區', '六龜區', '杉林區', '內門區', '旗山區', '美濃區', '茂林區']"
369,高雄市第2選舉區,"['茄萣區', '湖內區', '路竹區', '阿蓮區', '田寮區']"
374,高雄市第3選舉區,"['永安區', '岡山區', '燕巢區', '彌陀區', '梓官區', '橋頭區']"
380,高雄市第4選舉區,"['楠梓區', '左營區']"
382,高雄市第5選舉區,"['大社區', '仁武區', '鳥松區', '大樹區']"
386,高雄市第6選舉區,"['鼓山區', '鹽埕區', '旗津區']"
389,高雄市第7選舉區,['三民區']
390,高雄市第8選舉區,"['前金區', '新興區', '苓雅區']"
393,高雄市第9選舉區,['鳳山區']
394,高雄市第10選舉區,"['前鎮區', '小港區']"
396,高雄市第11選舉區,"['大寮區', '林園區']"
398,高雄市第12選舉區,"['桃源區', '那瑪夏區', '甲仙區', '六龜區', '杉林區', '內門區', '旗山區', '美濃區', '茂林區', '茄萣區', '湖內區', '路竹區', '阿蓮區', '田寮區', '永安區', '岡山區', '燕巢區', '彌陀區', '梓官區', '橋頭區', '楠梓區', '左營區', '大社區', '仁武區', '鳥松區', '大樹區', '鼓山區', '鹽埕區', '旗津區', '三民區', '前金區', '新興區', '苓雅區', '鳳山區', '前鎮區', '小港區', '大寮區', '林園區', '小港區']"
437,高雄市第13選舉區,"['那瑪夏區', '甲仙區', '杉林區', '內門區', '旗山區', '茄萣區', '湖內區', '路竹區', '永安區', '彌陀區', '梓官區', '楠梓區', '左營區', '三民區']"
451,高雄市第14選舉區,"['桃源區', '六龜區', '美濃區', '阿蓮區', '田寮區', '岡山區', '燕巢區', '橋頭區', '鼓山區', '鹽埕區', '前金區', '新興區']"
463,高雄市第15選舉區,"['茂林區', '大社區', '大樹區', '仁武區', '鳥松區', '鳳山區', '大寮區', '旗津區', '苓雅區', '前鎮區', '小港區', '林園區']"
475,新竹縣第1選舉區,['竹北市']
476,新竹縣第2選舉區,['湖口鄉']
477,新竹縣第3選舉區,['新豐鄉']
478,新竹縣第4選舉區,['關西鎮']
479,新竹縣第5選舉區,['新埔鎮']
480,新竹縣第6選舉區,"['橫山鄉', '尖石鄉']"
482,新竹縣第7選舉區,['芎林鄉']
483,新竹縣第8選舉區,"['竹東鎮', '五峰鄉']"
485,新竹縣第9選舉區,['寶山鄉']
486,新竹縣第10選舉區,"['北埔鄉', '峨眉鄉']"
488,新竹縣第11選舉區,"['竹北市', '湖口鄉', '新豐鄉', '關西鎮', '新埔鎮', '橫山鄉', '尖石鄉', '芎林鄉', '竹東鎮', '五峰鄉', '寶山鄉', '北埔鄉', '峨眉鄉']"
501,新竹縣第12選舉區,"['尖石鄉', '竹北市', '湖口鄉', '新豐鄉', '關西鎮', '新埔鎮', '橫山鄉']"
508,新竹縣第13選舉區,"['五峰鄉', '芎林鄉', '竹東鎮', '寶山鄉', '北埔鄉', '峨眉鄉']"
514,苗栗縣第1選舉區,"['苗栗市', '公館鄉', '頭屋鄉']"
