,countyCode,townCode,townName,candTksInfo
0,09007,09007010,南竿鄉,"[{'candNo': 1, 'tks': 804, 'candVictor': ' ', 'tksRate': 16.97, 'name': '李問', 'party': '民主進步黨'}, {'candNo': 2, 'tks': 1297, 'candVictor': ' ', 'tksRate': 27.37, 'name': '曹爾元', 'party': '中國國民黨'}, {'candNo': 3, 'tks': 943, 'candVictor': ' ', 'tksRate': 19.9, 'name': '王忠銘', 'party': '中國國民黨'}]"
1,09007,09007020,北竿鄉,"[{'candNo': 1, 'tks': 227, 'candVictor': ' ', 'tksRate': 22.5, 'name': '李問', 'party': '民主進步黨'}, {'candNo': 2, 'tks': 278, 'candVictor': ' ', 'tksRate': 27.55, 'name': '曹爾元', 'party': '中國國民黨'}, {'candNo': 3, 'tks': 252, 'candVictor': ' ', 'tksRate': 24.98, 'name': '王忠銘', 'party': '中國國民黨'}]"
2,09007,09007030,莒光鄉,"[{'candNo': 1, 'tks': 130, 'candVictor': ' ', 'tksRate': 16.65, 'name': '李問', 'party': '民主進步黨'}, {'candNo': 2, 'tks': 207, 'candVictor': ' ', 'tksRate': 26.5, 'name': '曹爾元', 'party': '中國國民黨'}, {'candNo': 3, 'tks': 253, 'candVictor': ' ', 'tksRate': 32.39, 'name': '王忠銘', 'party': '中國國民黨'}]"
3,09007,09007040,東引鄉,"[{'candNo': 1, 'tks': 88, 'candVictor': ' ', 'tksRate': 21.95, 'name': '李問', 'party': '民主進步黨'}, {'candNo': 2, 'tks': 89, 'candVictor': ' ', 'tksRate': 22.19, 'name': '曹爾元', 'party': '中國國民黨'}, {'candNo': 3, 'tks': 113, 'candVictor': ' ', 'tksRate': 28.18, 'name': '王忠銘', 'party': '中國國民黨'}]"
4,09020,09020010,金城鎮,"[{'candNo': 1, 'tks': 4501, 'candVictor': '*', 'tksRate': 18.04, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 4333, 'candVictor': ' ', 'tksRate': 17.37, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 3871, 'candVictor': ' ', 'tksRate': 15.52, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 3700, 'candVictor': ' ', 'tksRate': 14.83, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 3678, 'candVictor': ' ', 'tksRate': 14.74, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 4866, 'candVictor': ' ', 'tksRate': 19.5, 'name': '洪志恒', 'party': '無'}]"
5,09020,09020020,金沙鎮,"[{'candNo': 1, 'tks': 2476, 'candVictor': '*', 'tksRate': 18.32, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 2357, 'candVictor': ' ', 'tksRate': 17.44, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 1992, 'candVictor': ' ', 'tksRate': 14.74, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 2176, 'candVictor': ' ', 'tksRate': 16.1, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 2247, 'candVictor': ' ', 'tksRate': 16.62, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 2270, 'candVictor': ' ', 'tksRate': 16.79, 'name': '洪志恒', 'party': '無'}]"
6,09020,09020030,金湖鎮,"[{'candNo': 1, 'tks': 2950, 'candVictor': '*', 'tksRate': 17.35, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 2970, 'candVictor': ' ', 'tksRate': 17.47, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 2650, 'candVictor': ' ', 'tksRate': 15.58, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 3052, 'candVictor': ' ', 'tksRate': 17.95, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 2523, 'candVictor': ' ', 'tksRate': 14.84, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 2859, 'candVictor': ' ', 'tksRate': 16.81, 'name': '洪志恒', 'party': '無'}]"
7,09020,09020040,金寧鄉,"[{'candNo': 1, 'tks': 3970, 'candVictor': '*', 'tksRate': 19.03, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 3090, 'candVictor': ' ', 'tksRate': 14.81, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 3258, 'candVictor': ' ', 'tksRate': 15.61, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 3348, 'candVictor': ' ', 'tksRate': 16.05, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 3531, 'candVictor': ' ', 'tksRate': 16.92, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 3668, 'candVictor': ' ', 'tksRate': 17.58, 'name': '洪志恒', 'party': '無'}]"
8,09020,09020050,烈嶼鄉,"[{'candNo': 1, 'tks': 1237, 'candVictor': '*', 'tksRate': 18.64, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 1036, 'candVictor': ' ', 'tksRate': 15.61, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 921, 'candVictor': ' ', 'tksRate': 13.88, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 1270, 'candVictor': ' ', 'tksRate': 19.14, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 1026, 'candVictor': ' ', 'tksRate': 15.46, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 1146, 'candVictor': ' ', 'tksRate': 17.27, 'name': '洪志恒', 'party': '無'}]"
9,09020,09020060,烏坵鄉,"[{'candNo': 1, 'tks': 44, 'candVictor': '*', 'tksRate': 16.73, 'name': '李應文', 'party': '無'}, {'candNo': 2, 'tks': 57, 'candVictor': ' ', 'tksRate': 21.67, 'name': '朱紀瑋', 'party': '龍黨'}, {'candNo': 3, 'tks': 41, 'candVictor': ' ', 'tksRate': 15.59, 'name': '林志錦', 'party': '無'}, {'candNo': 4, 'tks': 37, 'candVictor': ' ', 'tksRate': 14.07, 'name': '楊鎮浯', 'party': '中國國民黨'}, {'candNo': 5, 'tks': 39, 'candVictor': ' ', 'tksRate': 14.83, 'name': '陳福海', 'party': '無'}, {'candNo': 6, 'tks': 45, 'candVictor': ' ', 'tksRate': 17.11, 'name': '洪志恒', 'party': '無'}]"
