,townCode,vilCode,vilName,name,party,tks,tksRate
0,09007010,09007010001,介壽村,曹爾元,中國國民黨,341,0.29498269896193774
1,09007010,09007010001,介壽村,李問,民主進步黨,394,0.3408304498269896
2,09007010,09007010001,介壽村,王忠銘,中國國民黨,421,0.36418685121107264
3,09007010,09007010002,復興村,曹爾元,中國國民黨,361,0.5879478827361564
4,09007010,09007010002,復興村,李問,民主進步黨,102,0.16612377850162866
5,09007010,09007010002,復興村,王忠銘,中國國民黨,151,0.24592833876221498
6,09007010,09007010003,福沃村,曹爾元,中國國民黨,361,0.5879478827361564
7,09007010,09007010003,福沃村,李問,民主進步黨,102,0.16612377850162866
8,09007010,09007010003,福沃村,王忠銘,中國國民黨,151,0.24592833876221498
9,09007010,09007010004,清水村,曹爾元,中國國民黨,274,0.49727767695099817
10,09007010,09007010004,清水村,李問,民主進步黨,146,0.26497277676951
11,09007010,09007010004,清水村,王忠銘,中國國民黨,131,0.23774954627949182
12,09007010,09007010005,仁愛村,曹爾元,中國國民黨,321,0.44398340248962653
13,09007010,09007010005,仁愛村,李問,民主進步黨,162,0.22406639004149378
14,09007010,09007010005,仁愛村,王忠銘,中國國民黨,240,0.33195020746887965
15,09007010,09007010006,津沙村,曹爾元,中國國民黨,321,0.44398340248962653
16,09007010,09007010006,津沙村,李問,民主進步黨,162,0.22406639004149378
17,09007010,09007010006,津沙村,王忠銘,中國國民黨,240,0.33195020746887965
18,09007010,09007010007,馬祖村,曹爾元,中國國民黨,321,0.44398340248962653
19,09007010,09007010007,馬祖村,李問,民主進步黨,162,0.22406639004149378
20,09007010,09007010007,馬祖村,王忠銘,中國國民黨,240,0.33195020746887965
21,09007010,09007010008,珠螺村,曹爾元,中國國民黨,274,0.49727767695099817
22,09007010,09007010008,珠螺村,李問,民主進步黨,146,0.26497277676951
23,09007010,09007010008,珠螺村,王忠銘,中國國民黨,131,0.23774954627949182
24,09007010,09007010009,四維村,曹爾元,中國國民黨,321,0.44398340248962653
25,09007010,09007010009,四維村,李問,民主進步黨,162,0.22406639004149378
26,09007010,09007010009,四維村,王忠銘,中國國民黨,240,0.33195020746887965
27,09007020,09007020001,塘岐村,曹爾元,中國國民黨,172,0.5103857566765578
28,09007020,09007020001,塘岐村,李問,民主進步黨,51,0.1513353115727003
29,09007020,09007020001,塘岐村,王忠銘,中國國民黨,114,0.33827893175074186
30,09007020,09007020002,后沃村,曹爾元,中國國民黨,172,0.5103857566765578
31,09007020,09007020002,后沃村,李問,民主進步黨,51,0.1513353115727003
32,09007020,09007020002,后沃村,王忠銘,中國國民黨,114,0.33827893175074186
33,09007020,09007020003,橋仔村,曹爾元,中國國民黨,106,0.2523809523809524
34,09007020,09007020003,橋仔村,李問,民主進步黨,176,0.41904761904761906
35,09007020,09007020003,橋仔村,王忠銘,中國國民黨,138,0.32857142857142857
