pcode,county,city,fullcode,cityname,vilcode,vilname,fullname,fullcodename
09,007,010,09007010,連江縣南竿鄉,001,介壽村,連江縣南竿鄉介壽村,09007010001
09,007,010,09007010,連江縣南竿鄉,002,復興村,連江縣南竿鄉復興村,09007010002
09,007,010,09007010,連江縣南竿鄉,003,福沃村,連江縣南竿鄉福沃村,09007010003
09,007,010,09007010,連江縣南竿鄉,004,清水村,連江縣南竿鄉清水村,09007010004
09,007,010,09007010,連江縣南竿鄉,005,仁愛村,連江縣南竿鄉仁愛村,09007010005
09,007,010,09007010,連江縣南竿鄉,006,津沙村,連江縣南竿鄉津沙村,09007010006
09,007,010,09007010,連江縣南竿鄉,007,馬祖村,連江縣南竿鄉馬祖村,09007010007
09,007,010,09007010,連江縣南竿鄉,008,珠螺村,連江縣南竿鄉珠螺村,09007010008
09,007,010,09007010,連江縣南竿鄉,009,四維村,連江縣南竿鄉四維村,09007010009
09,007,020,09007020,連江縣北竿鄉,001,塘岐村,連江縣北竿鄉塘岐村,09007020001
09,007,020,09007020,連江縣北竿鄉,002,后沃村,連江縣北竿鄉后沃村,09007020002
09,007,020,09007020,連江縣北竿鄉,003,橋仔村,連江縣北竿鄉橋仔村,09007020003
09,007,020,09007020,連江縣北竿鄉,004,芹壁村,連江縣北竿鄉芹壁村,09007020004
09,007,020,09007020,連江縣北竿鄉,005,坂里村,連江縣北竿鄉坂里村,09007020005
09,007,020,09007020,連江縣北竿鄉,006,白沙村,連江縣北竿鄉白沙村,09007020006
09,007,030,09007030,連江縣莒光鄉,001,青帆村,連江縣莒光鄉青帆村,09007030001
09,007,030,09007030,連江縣莒光鄉,002,田沃村,連江縣莒光鄉田沃村,09007030002
09,007,030,09007030,連江縣莒光鄉,003,西坵村,連江縣莒光鄉西坵村,09007030003
09,007,030,09007030,連江縣莒光鄉,004,福正村,連江縣莒光鄉福正村,09007030004
09,007,030,09007030,連江縣莒光鄉,005,大坪村,連江縣莒光鄉大坪村,09007030005
09,007,040,09007040,連江縣東引鄉,001,中柳村,連江縣東引鄉中柳村,09007040001
09,007,040,09007040,連江縣東引鄉,002,樂華村,連江縣東引鄉樂華村,09007040002
09,020,010,09020010,金門縣金城鎮,001,東門里,金門縣金城鎮東門里,09020010001
09,020,010,09020010,金門縣金城鎮,002,西門里,金門縣金城鎮西門里,09020010002
09,020,010,09020010,金門縣金城鎮,003,南門里,金門縣金城鎮南門里,09020010003
09,020,010,09020010,金門縣金城鎮,004,北門里,金門縣金城鎮北門里,09020010004
09,020,010,09020010,金門縣金城鎮,005,古城里,金門縣金城鎮古城里,09020010005
09,020,010,09020010,金門縣金城鎮,006,金水里,金門縣金城鎮金水里,09020010006
09,020,010,09020010,金門縣金城鎮,007,珠沙里,金門縣金城鎮珠沙里,09020010007
09,020,010,09020010,金門縣金城鎮,008,賢庵里,金門縣金城鎮賢庵里,09020010008
09,020,020,09020020,金門縣金沙鎮,001,汶沙里,金門縣金沙鎮汶沙里,09020020001
09,020,020,09020020,金門縣金沙鎮,002,三山里,金門縣金沙鎮三山里,09020020002
09,020,020,09020020,金門縣金沙鎮,003,大洋里,金門縣金沙鎮大洋里,09020020003
09,020,020,09020020,金門縣金沙鎮,004,光前里,金門縣金沙鎮光前里,09020020004
09,020,020,09020020,金門縣金沙鎮,005,何斗里,金門縣金沙鎮何斗里,09020020005
09,020,020,09020020,金門縣金沙鎮,006,西園里,金門縣金沙鎮西園里,09020020006
09,020,020,09020020,金門縣金沙鎮,007,官嶼里,金門縣金沙鎮官嶼里,09020020007
09,020,020,09020020,金門縣金沙鎮,008,浦山里,金門縣金沙鎮浦山里,09020020008
09,020,030,09020030,金門縣金湖鎮,001,新市里,金門縣金湖鎮新市里,09020030001
09,020,030,09020030,金門縣金湖鎮,002,山外里,金門縣金湖鎮山外里,09020030002
09,020,030,09020030,金門縣金湖鎮,003,正義里,金門縣金湖鎮正義里,09020030003
09,020,030,09020030,金門縣金湖鎮,004,料羅里,金門縣金湖鎮料羅里,09020030004
09,020,030,09020030,金門縣金湖鎮,005,瓊林里,金門縣金湖鎮瓊林里,09020030005
